2021-06-21 23:51:03,291 INFO o.a.j.u.JMeterUtils: Setting Locale to en_EN
2021-06-21 23:51:03,311 INFO o.a.j.JMeter: Loading user properties from: user.properties
2021-06-21 23:51:03,311 INFO o.a.j.JMeter: Loading system properties from: system.properties
2021-06-21 23:51:03,314 INFO o.a.j.JMeter: Copyright (c) 1998-2020 The Apache Software Foundation
2021-06-21 23:51:03,314 INFO o.a.j.JMeter: Version 5.3
2021-06-21 23:51:03,314 INFO o.a.j.JMeter: java.version=16.0.1
2021-06-21 23:51:03,314 INFO o.a.j.JMeter: java.vm.name=Java HotSpot(TM) 64-Bit Server VM
2021-06-21 23:51:03,314 INFO o.a.j.JMeter: os.name=Windows 10
2021-06-21 23:51:03,314 INFO o.a.j.JMeter: os.arch=amd64
2021-06-21 23:51:03,314 INFO o.a.j.JMeter: os.version=10.0
2021-06-21 23:51:03,315 INFO o.a.j.JMeter: file.encoding=Cp1252
2021-06-21 23:51:03,315 INFO o.a.j.JMeter: java.awt.headless=null
2021-06-21 23:51:03,315 INFO o.a.j.JMeter: Max memory     =1073741824
2021-06-21 23:51:03,315 INFO o.a.j.JMeter: Available Processors =8
2021-06-21 23:51:03,326 INFO o.a.j.JMeter: Default Locale=English (EN)
2021-06-21 23:51:03,327 INFO o.a.j.JMeter: JMeter  Locale=English (EN)
2021-06-21 23:51:03,327 INFO o.a.j.JMeter: JMeterHome=C:\jmeter\apache-jmeter-5.3\apache-jmeter-5.3
2021-06-21 23:51:03,327 INFO o.a.j.JMeter: user.dir  =C:\jmeter\apache-jmeter-5.3\apache-jmeter-5.3\bin
2021-06-21 23:51:03,327 INFO o.a.j.JMeter: PWD       =C:\jmeter\apache-jmeter-5.3\apache-jmeter-5.3\bin
2021-06-21 23:51:03,450 INFO o.a.j.JMeter: IP: 192.168.1.6 Name: DESKTOP-PD1SFEB FullName: 192.168.1.6
2021-06-21 23:51:03,575 INFO o.a.j.JMeter: Setting LAF to: com.github.weisj.darklaf.DarkLaf:com.github.weisj.darklaf.theme.IntelliJTheme
2021-06-21 23:51:03,787 INFO o.a.j.JMeter: Loaded icon properties from org/apache/jmeter/images/icon.properties
2021-06-21 23:51:10,153 INFO o.a.j.e.StandardJMeterEngine: Running the test!
2021-06-21 23:51:10,154 INFO o.a.j.s.SampleEvent: List of sample_variables: []
2021-06-21 23:51:10,154 INFO o.a.j.s.SampleEvent: List of sample_variables: []
2021-06-21 23:51:10,156 INFO o.a.j.e.u.CompoundVariable: Note: Function class names must contain the string: '.functions.'
2021-06-21 23:51:10,156 INFO o.a.j.e.u.CompoundVariable: Note: Function class names must not contain the string: '.gui.'
2021-06-21 23:51:10,186 INFO o.a.j.g.u.JMeterMenuBar: setRunning(true, *local*)
2021-06-21 23:51:10,220 INFO o.a.j.e.StandardJMeterEngine: No enabled thread groups found
2021-06-21 23:51:10,220 INFO o.a.j.e.StandardJMeterEngine: Notifying test listeners of end of test
2021-06-21 23:51:10,222 INFO o.a.j.s.FileServer: Default base='C:\jmeter\apache-jmeter-5.3\apache-jmeter-5.3\bin'
2021-06-21 23:51:10,222 INFO o.a.j.g.u.JMeterMenuBar: setRunning(false, *local*)
2021-06-21 23:51:18,105 INFO o.a.j.p.h.s.HTTPSamplerBase: Parser for text/html is org.apache.jmeter.protocol.http.parser.LagartoBasedHtmlParser
2021-06-21 23:51:18,106 INFO o.a.j.p.h.s.HTTPSamplerBase: Parser for application/xhtml+xml is org.apache.jmeter.protocol.http.parser.LagartoBasedHtmlParser
2021-06-21 23:51:18,106 INFO o.a.j.p.h.s.HTTPSamplerBase: Parser for application/xml is org.apache.jmeter.protocol.http.parser.LagartoBasedHtmlParser
2021-06-21 23:51:18,106 INFO o.a.j.p.h.s.HTTPSamplerBase: Parser for text/xml is org.apache.jmeter.protocol.http.parser.LagartoBasedHtmlParser
2021-06-21 23:51:18,106 INFO o.a.j.p.h.s.HTTPSamplerBase: Parser for text/vnd.wap.wml is org.apache.jmeter.protocol.http.parser.RegexpHTMLParser
2021-06-21 23:51:18,107 INFO o.a.j.p.h.s.HTTPSamplerBase: Parser for text/css is org.apache.jmeter.protocol.http.parser.CssParser
2021-06-21 23:51:23,579 INFO o.a.j.g.a.t.TemplateManager: Reading templates from: C:\jmeter\apache-jmeter-5.3\apache-jmeter-5.3\bin\templates\templates.xml
2021-06-21 23:51:31,390 INFO o.a.j.u.JMeterUtils: Setting Locale to pt_BR
2021-06-21 23:51:39,755 ERROR o.a.j.JMeter: Uncaught exception in thread Thread[AWT-EventQueue-0,6,main]
java.lang.IllegalAccessError: class com.github.weisj.darklaf.ui.filechooser.DarkFilePaneUIBridge$DetailsTableModel (in unnamed module @0x1f1c7bf6) cannot access class sun.awt.shell.ShellFolder (in module java.desktop) because module java.desktop does not export sun.awt.shell to unnamed module @0x1f1c7bf6
	at com.github.weisj.darklaf.ui.filechooser.DarkFilePaneUIBridge$DetailsTableModel.updateColumnInfo(DarkFilePaneUIBridge.java:1158) ~[darklaf-core-2.1.1.jar:2.1.1]
	at com.github.weisj.darklaf.ui.filechooser.DarkFilePaneUIBridge$DetailsTableModel.<init>(DarkFilePaneUIBridge.java:1145) ~[darklaf-core-2.1.1.jar:2.1.1]
	at com.github.weisj.darklaf.ui.filechooser.DarkFilePaneUIBridge.getDetailsTableModel(DarkFilePaneUIBridge.java:586) ~[darklaf-core-2.1.1.jar:2.1.1]
	at com.github.weisj.darklaf.ui.filechooser.DarkFilePaneUIBridge$SortableListModel.<init>(DarkFilePaneUIBridge.java:1109) ~[darklaf-core-2.1.1.jar:2.1.1]
	at com.github.weisj.darklaf.ui.filechooser.DarkFilePane.createList(DarkFilePane.java:129) ~[darklaf-core-2.1.1.jar:2.1.1]
	at com.github.weisj.darklaf.ui.filechooser.DarkFileChooserUIBridge.createList(DarkFileChooserUIBridge.java:608) ~[darklaf-core-2.1.1.jar:2.1.1]
	at com.github.weisj.darklaf.ui.filechooser.DarkFileChooserUIBridge$MetalFileChooserUIAccessor.createList(DarkFileChooserUIBridge.java:780) ~[darklaf-core-2.1.1.jar:2.1.1]
	at com.github.weisj.darklaf.ui.filechooser.DarkFilePaneUIBridge.setViewType(DarkFilePaneUIBridge.java:384) ~[darklaf-core-2.1.1.jar:2.1.1]
	at com.github.weisj.darklaf.ui.filechooser.DarkFilePaneUIBridge.propertyChange(DarkFilePaneUIBridge.java:918) ~[darklaf-core-2.1.1.jar:2.1.1]
	at java.beans.PropertyChangeSupport.fire(PropertyChangeSupport.java:342) ~[?:?]
	at java.beans.PropertyChangeSupport.firePropertyChange(PropertyChangeSupport.java:334) ~[?:?]
	at java.beans.PropertyChangeSupport.firePropertyChange(PropertyChangeSupport.java:267) ~[?:?]
	at java.awt.Component.firePropertyChange(Component.java:8713) ~[?:?]
	at javax.swing.JComponent.setUI(JComponent.java:688) ~[?:?]
	at javax.swing.JFileChooser.updateUI(JFileChooser.java:1838) ~[?:?]
	at javax.swing.JFileChooser.setup(JFileChooser.java:395) ~[?:?]
	at javax.swing.JFileChooser.<init>(JFileChooser.java:361) ~[?:?]
	at javax.swing.JFileChooser.<init>(JFileChooser.java:308) ~[?:?]
	at org.apache.jmeter.gui.util.FileDialoger.<clinit>(FileDialoger.java:42) ~[ApacheJMeter_core.jar:5.3]
	at org.apache.jmeter.gui.action.Save.computeFileName(Save.java:202) ~[ApacheJMeter_core.jar:5.3]
	at org.apache.jmeter.gui.action.Save.doAction(Save.java:164) ~[ApacheJMeter_core.jar:5.3]
	at org.apache.jmeter.gui.action.ActionRouter.performAction(ActionRouter.java:87) ~[ApacheJMeter_core.jar:5.3]
	at org.apache.jmeter.gui.action.ActionRouter.doActionNow(ActionRouter.java:124) ~[ApacheJMeter_core.jar:5.3]
	at org.apache.jmeter.gui.action.SelectTemplatesDialog.checkDirty(SelectTemplatesDialog.java:220) ~[ApacheJMeter_core.jar:5.3]
	at org.apache.jmeter.gui.action.SelectTemplatesDialog.checkDirtyAndLoad(SelectTemplatesDialog.java:161) ~[ApacheJMeter_core.jar:5.3]
	at org.apache.jmeter.gui.action.SelectTemplatesDialog.actionPerformed(SelectTemplatesDialog.java:307) ~[ApacheJMeter_core.jar:5.3]
	at javax.swing.AbstractButton.fireActionPerformed(AbstractButton.java:1972) ~[?:?]
	at javax.swing.AbstractButton$Handler.actionPerformed(AbstractButton.java:2313) ~[?:?]
	at javax.swing.DefaultButtonModel.fireActionPerformed(DefaultButtonModel.java:405) ~[?:?]
	at javax.swing.DefaultButtonModel.setPressed(DefaultButtonModel.java:262) ~[?:?]
	at javax.swing.plaf.basic.BasicButtonListener.mouseReleased(BasicButtonListener.java:279) ~[?:?]
	at java.awt.Component.processMouseEvent(Component.java:6617) ~[?:?]
	at javax.swing.JComponent.processMouseEvent(JComponent.java:3342) ~[?:?]
	at java.awt.Component.processEvent(Component.java:6382) ~[?:?]
	at java.awt.Container.processEvent(Container.java:2264) ~[?:?]
	at java.awt.Component.dispatchEventImpl(Component.java:4993) ~[?:?]
	at java.awt.Container.dispatchEventImpl(Container.java:2322) ~[?:?]
	at java.awt.Component.dispatchEvent(Component.java:4825) ~[?:?]
	at java.awt.LightweightDispatcher.retargetMouseEvent(Container.java:4934) ~[?:?]
	at java.awt.LightweightDispatcher.processMouseEvent(Container.java:4563) ~[?:?]
	at java.awt.LightweightDispatcher.dispatchEvent(Container.java:4504) ~[?:?]
	at java.awt.Container.dispatchEventImpl(Container.java:2308) ~[?:?]
	at java.awt.Window.dispatchEventImpl(Window.java:2773) ~[?:?]
	at java.awt.Component.dispatchEvent(Component.java:4825) ~[?:?]
	at java.awt.EventQueue.dispatchEventImpl(EventQueue.java:772) [?:?]
	at java.awt.EventQueue$4.run(EventQueue.java:721) [?:?]
	at java.awt.EventQueue$4.run(EventQueue.java:715) [?:?]
	at java.security.AccessController.doPrivileged(AccessController.java:391) ~[?:?]
	at java.security.ProtectionDomain$JavaSecurityAccessImpl.doIntersectionPrivilege(ProtectionDomain.java:85) ~[?:?]
